perfil,seed,conf_larga,conf_estreita,desvio,energia
Agressivo,0,86.5,83.83333333333334,0.8267162111773539,10.539505646199185
Agressivo,1,86.5,67.0,1.1718668998351813,9.814252232933674
Agressivo,2,86.33333333333334,77.5,0.947662104441544,9.817288911173012
Equilibrado,0,84.33333333333334,52.33333333333333,1.2806542141010693,10.086141416279792
Equilibrado,1,86.5,56.0,1.2714175833093209,9.928328797545518
Equilibrado,2,82.83333333333334,61.0,1.1926612479568526,9.289017322191274
Passivo,0,86.5,65.66666666666666,1.18744027553682,9.435053939337669
Passivo,1,86.33333333333334,62.5,1.2308611387446418,9.785904644382546
Passivo,2,86.5,70.16666666666667,1.1348416895159237,9.654743806870941
