config,seed,conf_larga,conf_estreita,desvio,energia
"referência (B=10, k=0,6)",0,86.5,68.33333333333334,1.0799170356115761,10.878730211699166
"referência (B=10, k=0,6)",1,86.5,72.16666666666666,1.0440563328683141,10.540972716725204
"referência (B=10, k=0,6)",2,86.5,53.0,1.3512423553419564,11.329720311358713
"derivados (B=0, k=1,0)",0,86.5,83.83333333333334,0.8467887867679924,11.266951777777779
"derivados (B=0, k=1,0)",1,86.5,81.0,0.9634175970174028,12.048474444444444
"derivados (B=0, k=1,0)",2,86.5,78.83333333333334,0.9256892779403301,11.20182488888889
