controlador,cenario,start_temp,occupancy,entrada_h,acomodacao_h,overshoot_c,taxa_c_por_h,saturacao_pct,energia_transitorio_kwh
DQN Passivo,R040,26.506964279407548,35,0.2,0.2,0.0,1.6808082344615194,100.0,0.586142
DQN Passivo,R041,26.786954090659687,4,0.2,0.2,0.0,2.8422873387171954,100.0,0.586142
DQN Passivo,R047,30.790011539118083,40,1.6,1.6,0.0,2.904619742315908,100.0,4.689136
DQN Passivo,R052,29.260133557681602,21,1.0,1.0,0.0,2.8985991397724646,100.0,2.9307100000000004
DQN Passivo,R057,31.016829206747424,40,1.6,1.6,0.0,2.864785288135532,100.0,4.689136
DQN Passivo,R060,31.240852614844812,34,1.6,1.6,0.0,2.9183531693876796,100.0,4.689136
DQN Passivo,R064,30.920181401697484,0,1.6,1.6,0.0,2.9590648587527824,100.0,4.689136
DQN Passivo,R066,29.30371533543771,12,1.0,1.0,0.0,2.875473425242724,100.0,2.9307100000000004
DQN Passivo,R067,28.020639507804233,2,0.6000000000000001,0.6000000000000001,0.0,2.7576297873076303,100.0,1.758426
DQN Passivo,R068,27.391926107987587,1,0.4,0.4,0.0,2.544258465835174,100.0,1.172284
DQN Passivo,R069,29.05817321293346,17,1.4000000000000001,1.4000000000000001,0.0,2.1312255387048014,100.0,4.102994000000001
DQN Passivo,R070,32.61804447646341,19,2.6,2.6,0.0,2.5238462984134933,100.0,7.619845999999999
DQN Passivo,R072,30.66064866071436,3,1.8,1.8,0.0,2.367469704575446,100.0,5.275278
DQN Passivo,R074,28.96883538969567,30,1.0,1.0,0.0,2.9028779032842955,100.0,2.9307100000000004
DQN Passivo,R076,29.192222312887708,15,1.2000000000000002,1.2000000000000002,0.0,2.4116214293810883,100.0,3.5168520000000005
DQN Passivo,R081,32.775718011409566,5,2.6,2.6,0.0,2.439349967823853,100.0,7.619845999999999
DQN Passivo,R082,28.29367602730619,22,1.0,1.0,0.0,2.0454749814852953,100.0,2.9307100000000004
DQN Passivo,R084,30.91998551776868,30,1.8,1.8,0.0,2.537115879415387,100.0,5.275278
DQN Passivo,R085,28.062087397422893,40,0.6000000000000001,0.6000000000000001,0.0,2.7589908023647065,100.0,1.758426
DQN Passivo,R086,32.659968726790204,26,3.4000000000000004,3.4000000000000004,0.0,1.9411288431048708,100.0,9.964414000000001
DQN Passivo,R087,28.878681618294404,12,1.2000000000000002,1.2000000000000002,0.0,2.1799811892521896,100.0,3.5168520000000005
DQN Passivo,R094,32.986567039989566,31,3.6,3.6,0.0,1.8446293503599303,100.0,10.550556000000002
DQN Passivo,R096,27.829736926905802,34,0.6000000000000001,0.6000000000000001,0.0,2.8827082651009834,100.0,1.758426
DQN Passivo,R097,28.889760198869006,31,1.2000000000000002,1.2000000000000002,0.0,2.361072794708718,100.0,3.5168520000000005
DQN Passivo,R100,28.994998804445792,37,1.6,1.6,0.0,1.827370394330854,100.0,4.689136
DQN Passivo,R101,26.53882646688087,45,0.0,0.0,0.0,,100.0,0.586142
DQN Passivo,R103,32.679949550163656,36,2.2,2.2,0.0,2.9697690482039714,100.0,6.447562
DQN Passivo,R105,26.872099278752515,15,0.4,0.4,0.0,1.9957938573900513,100.0,1.172284
DQN Passivo,R110,27.774455842445732,22,0.8,0.8,0.0,2.0000098177095404,100.0,2.344568
DQN Passivo,R112,26.251655379624534,13,0.0,0.0,0.0,,100.0,0.586142
DQN Passivo,R113,31.391478120742825,38,1.8,1.8,0.0,2.9067684128631455,100.0,5.275278
DQN Passivo,R114,29.76311994803745,45,2.0,2.0,0.0,1.9108246974939664,100.0,5.86142
DQN Passivo,R117,29.90084550662727,4,1.2000000000000002,1.2000000000000002,0.0,2.9467594025411787,100.0,3.5168520000000005
DQN Passivo,R118,26.209501214713725,15,0.0,0.0,0.0,,100.0,0.586142
