controlador,cenario,start_temp,occupancy,hour,conf_larga_pct,conf_estreita_pct,na_tolerancia_pct,desvio_ideal,energia_kwh
DQN Agressivo,R001,19.864712381941885,36,7,85.33333333333334,78.66666666666666,73.33333333333333,0.6953138858484338,12.308982
DQN Agressivo,R002,29.555212774656482,29,16,88.0,84.0,81.33333333333333,0.6444475087325087,18.756544
DQN Agressivo,R003,22.648862360232453,38,7,100.0,98.66666666666667,93.33333333333333,0.20274814526972254,15.825834
DQN Agressivo,R004,26.171248810982227,9,4,100.0,100.0,100.0,0.1360954084711989,9.378272
DQN Agressivo,R005,27.436852748248562,28,22,100.0,100.0,100.0,0.1471187743925229,16.411976000000003
DQN Agressivo,R006,20.220177148702707,42,22,90.66666666666666,84.0,81.33333333333333,0.4990936345853639,14.653550000000001
DQN Agressivo,R007,27.343036702706332,6,2,100.0,100.0,100.0,0.151957076291308,9.378272
DQN Agressivo,R008,23.511274324852817,3,21,100.0,100.0,86.66666666666667,0.2506678397345852,4.102994000000001
DQN Agressivo,R009,27.856709497994373,9,7,96.0,93.33333333333333,90.66666666666666,0.30069954546023375,11.136698
DQN Agressivo,R010,28.47677877661113,35,5,100.0,100.0,100.0,0.14208213952462315,21.101112
DQN Agressivo,R011,17.38710768221754,18,3,62.66666666666667,53.333333333333336,49.333333333333336,1.7965763213698354,4.689136
DQN Agressivo,R012,21.78170314422999,21,11,98.66666666666667,90.66666666666666,84.0,0.3377329669024245,8.205988000000001
DQN Agressivo,R013,20.529157480943105,25,19,88.0,74.66666666666667,70.66666666666667,0.6568354228853063,8.79213
DQN Agressivo,R014,19.286004617921407,1,3,57.333333333333336,42.66666666666667,32.0,1.7762482673047577,0.586142
DQN Agressivo,R015,17.55830077626391,5,14,38.666666666666664,20.0,12.0,2.682525658510002,0.586142
DQN Agressivo,R016,30.53061237435802,30,14,84.0,80.0,76.0,0.8712000453883965,20.514970000000005
DQN Agressivo,R017,31.84380213931172,29,17,81.33333333333333,77.33333333333333,70.66666666666667,1.1084314778484006,21.101112
DQN Agressivo,R018,30.62937239568597,32,22,100.0,100.0,100.0,0.15088620713534145,21.101112
DQN Agressivo,R019,25.285162154400002,11,22,100.0,100.0,100.0,0.1395281580673342,8.205988000000001
DQN Agressivo,R020,24.414794981340012,14,6,100.0,100.0,100.0,0.1334537001820327,9.378272000000003
DQN Agressivo,R021,23.68023802707093,26,15,100.0,100.0,96.0,0.17105910745368638,11.722840000000001
DQN Agressivo,R022,21.62514581793993,31,21,97.33333333333334,86.66666666666667,82.66666666666667,0.361131760226109,11.722840000000001
DQN Agressivo,R023,20.370260979701083,13,8,80.0,70.66666666666667,64.0,0.8456642286245424,4.689136
DQN Agressivo,R024,20.400507776929764,38,8,89.33333333333333,84.0,78.66666666666666,0.5276269011800117,12.308982
DQN Agressivo,R025,16.08537967319124,1,15,16.0,0.0,0.0,4.174799905820655,0.0
DQN Agressivo,R026,20.800506026227012,28,1,90.66666666666666,81.33333333333333,77.33333333333333,0.534347935913028,10.550556
DQN Agressivo,R027,26.48609261335847,1,4,100.0,100.0,93.33333333333333,0.2063651450842237,6.4475620000000005
DQN Agressivo,R028,21.174602582733023,43,10,96.0,90.66666666666666,86.66666666666667,0.3416754431042357,14.653550000000003
DQN Agressivo,R029,18.553439798065913,37,5,78.66666666666666,72.0,69.33333333333334,1.0104443751834387,11.722840000000001
DQN Agressivo,R030,24.063662960670257,18,11,100.0,100.0,96.0,0.17294631215675604,9.378272
DQN Agressivo,R031,20.338950014931505,5,7,72.0,58.666666666666664,52.0,1.163274257586775,2.344568
DQN Agressivo,R032,20.744141036834034,30,6,89.33333333333333,81.33333333333333,77.33333333333333,0.5624600828411512,11.136698000000003
DQN Agressivo,R033,24.206947077588367,26,5,100.0,100.0,100.0,0.1511060753980516,13.481266000000002
DQN Agressivo,R034,24.42572014344169,32,5,100.0,100.0,100.0,0.15328447179988633,15.239692000000002
DQN Agressivo,R035,30.25420509193806,21,4,100.0,100.0,100.0,0.14164736281521836,18.170402000000003
DQN Agressivo,R036,30.65665695565702,23,4,100.0,100.0,100.0,0.14634565912281525,18.756544
DQN Agressivo,R037,28.75903264293315,17,14,92.0,88.0,84.0,0.48359712304725255,14.067408000000002
DQN Agressivo,R038,19.555635593786324,39,18,85.33333333333334,78.66666666666666,72.0,0.6996490723739373,11.722840000000001
DQN Agressivo,R039,20.237429682093513,15,2,81.33333333333333,70.66666666666667,65.33333333333333,0.8413520016787885,5.861420000000001
DQN Agressivo,R040,26.506964279407548,35,12,98.66666666666667,94.66666666666667,88.0,0.27269194181234097,18.170402000000003
DQN Agressivo,R041,26.786954090659687,4,4,100.0,100.0,100.0,0.15397960440453085,8.205988000000001
DQN Agressivo,R042,20.21879632755969,26,16,88.0,80.0,74.66666666666667,0.6181396155226943,8.205988000000001
DQN Agressivo,R043,17.374817986265427,38,21,76.0,70.66666666666667,66.66666666666666,1.1718296259292815,11.136698
DQN Agressivo,R044,23.287804486179862,12,14,100.0,100.0,98.66666666666667,0.15592945520094623,7.033704
DQN Agressivo,R045,21.322793571147038,31,4,94.66666666666667,86.66666666666667,81.33333333333333,0.41384586895444553,12.308982000000002
DQN Agressivo,R046,16.165106172522695,13,5,48.0,38.666666666666664,33.33333333333333,2.767425365704036,1.758426
DQN Agressivo,R047,30.790011539118083,40,23,100.0,100.0,100.0,0.14165086768143534,24.031822000000002
DQN Agressivo,R048,23.51046983424874,26,9,100.0,100.0,97.33333333333334,0.1720770223326881,11.722840000000001
DQN Agressivo,R049,20.691100381558552,31,23,90.66666666666666,82.66666666666667,78.66666666666666,0.5213912834390104,11.722840000000001
DQN Agressivo,R050,16.989444289519348,17,9,60.0,52.0,46.666666666666664,2.0512919135263017,2.344568
DQN Agressivo,R051,18.866690356984265,7,5,61.33333333333333,49.333333333333336,44.0,1.692939907633213,1.758426
DQN Agressivo,R052,29.260133557681602,21,4,100.0,100.0,100.0,0.14521048619691537,16.998118
DQN Agressivo,R053,25.38486623094757,43,8,100.0,98.66666666666667,94.66666666666667,0.195332942972145,19.342686
DQN Agressivo,R054,24.623789263670066,2,8,100.0,100.0,98.66666666666667,0.1935762744866725,5.275278
DQN Agressivo,R055,20.806268459833934,5,6,77.33333333333333,64.0,57.333333333333336,0.9451136621666982,2.9307100000000004
DQN Agressivo,R056,17.45148196606189,15,11,64.0,54.666666666666664,44.0,1.8153070385040364,2.344568
DQN Agressivo,R057,31.016829206747424,40,22,100.0,100.0,100.0,0.15011715425824998,24.031822000000005
DQN Agressivo,R058,16.46552327276102,44,22,76.0,70.66666666666667,68.0,1.1929955172707432,12.895124000000003
DQN Agressivo,R059,18.065917001251965,30,17,73.33333333333333,62.66666666666667,57.333333333333336,1.2972499913721915,8.205988000000001
DQN Agressivo,R060,31.240852614844812,34,4,100.0,100.0,100.0,0.1527840670699552,23.445680000000003
DQN Agressivo,R061,21.634874727535795,36,9,98.66666666666667,90.66666666666666,84.0,0.3264263703928969,12.895124000000001
DQN Agressivo,R062,21.896432280461248,30,12,100.0,93.33333333333333,88.0,0.27410659507366913,11.136698
DQN Agressivo,R063,16.152898465312617,45,10,73.33333333333333,68.0,62.66666666666667,1.5285470434097779,10.550556
DQN Agressivo,R064,30.920181401697484,0,2,100.0,100.0,100.0,0.18963330014690588,10.550556
DQN Agressivo,R065,24.229441896786625,39,11,100.0,100.0,97.33333333333334,0.16148519688098348,16.411976000000003
DQN Agressivo,R066,29.30371533543771,12,23,100.0,100.0,100.0,0.13691378980929667,12.895124000000001
DQN Agressivo,R067,28.020639507804233,2,6,100.0,98.66666666666667,97.33333333333334,0.20686372741372533,8.79213
DQN Agressivo,R068,27.391926107987587,1,8,97.33333333333334,94.66666666666667,92.0,0.3139741188543114,7.619846000000001
DQN Agressivo,R069,29.05817321293346,17,16,90.66666666666666,88.0,81.33333333333333,0.528627999938541,14.653550000000003
DQN Agressivo,R070,32.61804447646341,19,20,88.0,88.0,88.0,0.8722034596875355,18.756544
DQN Agressivo,R071,16.783836248981082,44,6,72.0,66.66666666666666,64.0,1.4915396393555564,12.308982
DQN Agressivo,R072,30.66064866071436,3,14,88.0,84.0,82.66666666666667,0.7241930234108027,11.136698
DQN Agressivo,R073,21.852385294246545,40,1,98.66666666666667,90.66666666666666,88.0,0.3094603303427723,15.239692000000002
DQN Agressivo,R074,28.96883538969567,30,0,100.0,100.0,100.0,0.14198786624802368,19.342686
DQN Agressivo,R075,17.578340167065313,37,23,76.0,70.66666666666667,68.0,1.1040433602539341,11.136698000000003
DQN Agressivo,R076,29.192222312887708,15,20,92.0,89.33333333333333,88.0,0.4586526888161291,14.067408000000002
DQN Agressivo,R077,24.11169027697438,27,4,100.0,100.0,100.0,0.14597385217327508,13.481266000000002
DQN Agressivo,R078,25.077614459467817,25,10,100.0,100.0,96.0,0.171138852480423,12.895124000000001
DQN Agressivo,R079,18.771503142288097,20,3,72.0,64.0,60.0,1.213639920249683,6.4475620000000005
DQN Agressivo,R080,20.38855286153897,32,22,89.33333333333333,81.33333333333333,78.66666666666666,0.5386729415013704,11.722840000000001
DQN Agressivo,R081,32.775718011409566,5,16,82.66666666666667,80.0,77.33333333333333,1.1292334223885319,14.067408000000002
