comfort_wide_pct,comfort_narrow_pct,abs_dev_from_ideal,overheat_pct,violation_rate_pct,violation_degree_hours,shield_interventions,energy_kwh_day,cost_brl_day,changes_per_hour,changes_per_day,mean_temp,scenario,scenario_id,condition,occupancy_label,controllable,agent
40.0,25.333333333333336,3.1030974583181354,0.0,60.0,11.938530657131123,0.0,0.0,0.0,0.0,0.0,20.897738588527808,C1: Frio + Poucas,C1,Frio,Poucas,False,Agressivo
60.0,53.333333333333336,2.0416114387193276,0.0,40.0,7.649571079185314,0.0,5.275278,5.626963200000002,0.75,18.0,21.998914036027493,C2: Frio + Médias,C2,Frio,Médias,True,Agressivo
73.33333333333333,68.0,1.395726807118384,0.0,26.666666666666668,4.9744605978016585,0.0,12.308982,12.238644960000002,1.75,42.0,22.685303581868844,C3: Frio + Muitas,C3,Frio,Muitas,True,Agressivo
100.0,100.0,0.1630714036067754,0.0,0.0,0.0,0.0,4.689136,4.032656960000001,0.6666666666666666,16.0,24.06852186716404,C4: Normal + Poucas,C4,Normal,Poucas,True,Agressivo
100.0,100.0,0.17929749272882564,0.0,0.0,0.0,0.0,11.136698,10.316099200000004,1.5416666666666667,37.0,23.922842024975807,C5: Normal + Médias,C5,Normal,Médias,True,Agressivo
100.0,100.0,0.15690531445768527,0.0,0.0,0.0,0.0,18.170402000000003,16.927780960000003,2.5833333333333335,62.0,23.967138172121757,C6: Normal + Muitas,C6,Normal,Muitas,True,Agressivo
89.33333333333333,86.66666666666667,0.6283097251606804,10.666666666666668,10.666666666666668,1.517445570519432,0.0,11.722840000000001,9.940968320000001,0.625,15.0,24.510926140228104,C7: Quente + Poucas,C7,Quente,Poucas,True,Agressivo
86.66666666666667,84.0,0.717233126363472,13.333333333333334,13.333333333333334,1.8031280765173758,0.0,16.998118,15.145909280000003,1.1666666666666667,28.0,24.481423096698773,C8: Quente + Médias,C8,Quente,Médias,True,Agressivo
82.66666666666667,78.66666666666666,0.8757596797391107,17.333333333333336,17.333333333333336,2.3982804501581243,0.0,24.617964,22.22650464,1.9166666666666667,46.0,24.70358662601171,C9: Quente + Muitas,C9,Quente,Muitas,True,Agressivo
40.0,25.333333333333336,3.1030974583181354,0.0,60.0,11.938530657131123,0.0,0.0,0.0,0.0,0.0,20.897738588527808,C1: Frio + Poucas,C1,Frio,Poucas,False,Equilibrado
60.0,53.333333333333336,2.007098421342831,0.0,40.0,7.649571079185314,0.0,4.204931739130435,4.434291652173913,0.25,6.0,22.02264053022955,C2: Frio + Médias,C2,Frio,Médias,True,Equilibrado
73.33333333333333,68.0,1.616584181699818,0.0,26.666666666666668,4.9744605978016585,0.0,12.003168782608697,11.706529961739133,1.0833333333333333,26.0,22.383415818300183,C3: Frio + Muitas,C3,Frio,Muitas,True,Equilibrado
100.0,100.0,0.35245898451772556,0.0,0.0,0.0,0.0,3.6952430434782606,3.2008450086956524,1.3333333333333333,32.0,24.352458984517728,C4: Normal + Poucas,C4,Normal,Poucas,True,Equilibrado
100.0,100.0,0.17412125795894526,0.0,0.0,0.0,0.0,9.582147478260868,8.827808208695654,0.4583333333333333,11.0,24.107995661443425,C5: Normal + Médias,C5,Normal,Médias,True,Equilibrado
100.0,100.0,0.416955012799247,0.0,0.0,0.0,0.0,17.813619913043482,16.354890866086958,1.5833333333333333,38.0,23.58373060870097,C6: Normal + Muitas,C6,Normal,Muitas,True,Equilibrado
89.33333333333333,86.66666666666667,0.83644379435573,10.666666666666668,10.666666666666668,1.517445570519432,0.0,10.397649391304348,8.685095373913043,1.0833333333333333,26.0,24.835392495066955,C7: Quente + Poucas,C7,Quente,Poucas,True,Equilibrado
86.66666666666667,84.0,0.699375484570332,13.333333333333334,13.333333333333334,1.8031280765173758,0.0,15.672927391304349,13.731013460869566,0.16666666666666666,4.0,24.63541660662104,C8: Quente + Médias,C8,Quente,Médias,True,Equilibrado
82.66666666666667,78.66666666666666,1.0203475628803027,17.333333333333336,17.333333333333336,2.3982804501581243,0.0,24.69441730434783,22.189807053913043,1.0416666666666667,25.0,24.47349748001944,C9: Quente + Muitas,C9,Quente,Muitas,True,Equilibrado
40.0,25.333333333333336,3.1030974583181354,0.0,60.0,11.938530657131123,0.0,0.0,0.0,0.0,0.0,20.897738588527808,C1: Frio + Poucas,C1,Frio,Poucas,False,Passivo
60.0,53.333333333333336,2.0780265698790124,0.0,40.0,7.649571079185314,0.0,4.204931739130435,4.311966365217391,0.4166666666666667,10.0,21.947051953107213,C2: Frio + Médias,C2,Frio,Médias,True,Passivo
73.33333333333333,66.66666666666666,1.515619792457165,0.0,26.666666666666668,4.9744605978016585,0.0,11.671871130434782,11.441491840000001,1.0,24.0,22.484380207542834,C3: Frio + Muitas,C3,Frio,Muitas,True,Passivo
100.0,100.0,0.287959292016267,0.0,0.0,0.0,0.0,3.950087391304348,3.3741391652173918,1.5416666666666667,37.0,24.286078598691326,C4: Normal + Poucas,C4,Normal,Poucas,True,Passivo
100.0,100.0,0.3273750180261525,0.0,0.0,0.0,0.0,9.505694173913042,8.827808208695652,0.20833333333333334,5.0,24.26271328965552,C5: Normal + Médias,C5,Normal,Médias,True,Passivo
100.0,100.0,0.25335164342974836,0.0,0.0,0.0,0.0,17.227477913043483,15.885977266086956,1.5,36.0,23.787577719172173,C6: Normal + Muitas,C6,Normal,Muitas,True,Passivo
89.33333333333333,86.66666666666667,0.8048739430984992,10.666666666666668,10.666666666666668,1.517445570519432,0.0,10.525071565217392,8.756451791304348,1.0,24.0,24.801942564724005,C7: Quente + Poucas,C7,Quente,Poucas,True,Passivo
86.66666666666667,84.0,0.7711387852209304,13.333333333333334,13.333333333333334,1.8031280765173758,0.0,15.800349565217392,14.022555394782609,0.3333333333333333,8.0,24.626401428348046,C8: Quente + Médias,C8,Quente,Médias,True,Passivo
82.66666666666667,78.66666666666666,0.9196970435211542,17.333333333333336,17.333333333333336,2.3982804501581243,0.0,24.235697478260875,21.822831193043477,1.0833333333333333,26.0,24.59702402347062,C9: Quente + Muitas,C9,Quente,Muitas,True,Passivo
18.666666666666668,0.0,3.8762279438476086,0.0,81.33333333333333,14.760256980138188,0.0,4.296805180686524,4.880622169315779,0.4166666666666667,10.0,20.123772056152394,C1: Frio + Poucas,C1,Frio,Poucas,False,SAC (Equilibrado)
42.66666666666667,22.666666666666664,2.8099954855174794,0.0,57.333333333333336,9.124444175842031,0.0,8.496827735725883,8.788705142555065,0.875,21.0,21.19000451448252,C2: Frio + Médias,C2,Frio,Médias,True,SAC (Equilibrado)
62.66666666666667,44.0,1.957199512378353,8.0,37.333333333333336,5.514784223575173,0.0,9.818420059107982,9.332104881111025,1.0416666666666667,25.0,23.075460940302168,C3: Frio + Muitas,C3,Frio,Muitas,True,SAC (Equilibrado)
96.0,85.33333333333334,0.6669693047232101,0.0,4.0,0.02342760330154228,0.0,6.4409995546366945,5.330286709098214,0.875,21.0,23.970906218510322,C4: Normal + Poucas,C4,Normal,Poucas,True,SAC (Equilibrado)
81.33333333333333,60.0,0.9855540189966573,0.0,18.666666666666668,1.1323263304103197,0.0,11.888927540144993,10.328474334500733,1.5833333333333333,38.0,23.669616399733865,C5: Normal + Médias,C5,Normal,Médias,True,SAC (Equilibrado)
92.0,78.66666666666666,0.7512778318848713,8.0,8.0,0.06799824768996494,0.0,14.387094516468661,12.98764418157591,1.25,30.0,24.73420807953664,C6: Normal + Muitas,C6,Normal,Muitas,True,SAC (Equilibrado)
85.33333333333334,30.666666666666664,1.5594337898463073,14.666666666666666,14.666666666666666,1.9907044117901784,0.0,11.849685162395792,9.643970002789313,0.5,12.0,24.281378241648884,C7: Quente + Poucas,C7,Quente,Poucas,True,SAC (Equilibrado)
85.33333333333334,65.33333333333333,1.0514955476350907,14.666666666666666,14.666666666666666,1.9975872883189467,0.0,14.523058021569923,12.488497956138051,0.75,18.0,24.507377449531223,C8: Quente + Médias,C8,Quente,Médias,True,SAC (Equilibrado)
58.666666666666664,29.333333333333332,1.8933155708558507,41.333333333333336,41.333333333333336,3.968069950417786,0.0,20.415779570857417,18.450979640665313,0.75,18.0,25.87952928038511,C9: Quente + Muitas,C9,Quente,Muitas,True,SAC (Equilibrado)
40.0,25.333333333333336,3.1030974583181354,0.0,60.0,11.938530657131123,0.0,0.0,0.0,0.0,0.0,20.897738588527808,C1: Frio + Poucas,C1,Frio,Poucas,False,Termostato
49.333333333333336,17.333333333333336,2.668753153800029,10.666666666666668,50.66666666666667,7.677221330908058,0.0,2.1551739275766018,2.7586226272980507,0.6666666666666666,16.0,22.75096989375152,C2: Frio + Médias,C2,Frio,Médias,True,Termostato
34.66666666666667,12.0,2.4782608344708206,38.666666666666664,65.33333333333333,5.331564891781978,0.0,8.081902228412257,8.27586788189415,0.9166666666666666,22.0,23.888841353419455,C3: Frio + Muitas,C3,Frio,Muitas,True,Termostato
89.33333333333333,29.333333333333332,1.4109533446041975,10.666666666666668,10.666666666666668,0.02465991656892541,0.0,2.1551739275766018,2.1120704490250697,0.6666666666666666,16.0,25.410953344604195,C4: Normal + Poucas,C4,Normal,Poucas,True,Termostato
70.66666666666667,14.666666666666666,1.6728417820383494,29.333333333333332,29.333333333333332,0.1306010507124718,0.0,6.1961250417827305,5.926728300835656,1.7083333333333333,41.0,25.67284178203835,C5: Normal + Médias,C5,Normal,Médias,True,Termostato
40.0,8.0,1.9014886512554348,60.0,60.0,0.5674251984744284,0.0,12.122853342618384,11.443973555431757,1.3333333333333333,32.0,25.901488651255434,C6: Normal + Muitas,C6,Normal,Muitas,True,Termostato
73.33333333333333,10.666666666666668,1.9610033032124503,26.666666666666668,26.666666666666668,1.8800883761697555,0.0,7.241057855153205,6.24543280891365,0.7916666666666666,19.0,25.961003303212447,C7: Quente + Poucas,C7,Quente,Poucas,True,Termostato
52.0,2.666666666666667,2.206842804161286,48.0,48.0,2.4754251672837175,0.0,11.868150969359334,10.529004260724234,1.75,42.0,26.206842804161283,C8: Quente + Médias,C8,Quente,Médias,True,Termostato
22.666666666666664,2.666666666666667,2.537561274369039,77.33333333333333,77.33333333333333,4.598378379585293,0.0,18.111624529247912,16.687577029526466,0.9166666666666666,22.0,26.537561274369036,C9: Quente + Muitas,C9,Quente,Muitas,True,Termostato
