variante,seed,conf_larga_pct,conf_estreita_pct,desvio_ideal,sobreaq_pct,violacao_pct,energia_kwh,custo_brl,trocas_h,cenarios_estacionados_pct
completa,0,86.5,83.83333333333334,0.8904230875156165,5.166666666666668,13.500000000000002,10.896011671497584,9.90336462067633,0.7777777777777778,0.0
completa,1,86.5,83.33333333333334,0.8635764793276695,5.166666666666668,13.500000000000002,10.794073932367152,9.779000578937199,0.7546296296296297,0.0
completa,2,86.5,83.83333333333334,0.7891960761196,5.166666666666668,13.500000000000002,11.592586222222224,10.508874791111115,1.199074074074074,0.0
sem_gradiente,0,85.16666666666667,61.333333333333336,1.2116192872143992,6.000000000000001,14.833333333333332,10.205100328502416,9.465485399033817,0.4907407407407407,0.0
sem_gradiente,1,79.33333333333334,34.0,1.585711435620142,7.500000000000001,20.666666666666664,10.301374859903383,9.40590845371981,0.9953703703703705,0.0
sem_gradiente,2,63.833333333333336,47.833333333333336,1.5882939006259176,27.833333333333332,36.16666666666667,9.066795574879228,8.332617324830919,0.45370370370370366,11.11111111111111
sem_penal_troca,0,86.5,83.83333333333334,0.8112776591032412,5.166666666666668,13.500000000000002,11.026265449275362,10.09251575884058,0.7592592592592593,0.0
sem_penal_troca,1,86.5,78.5,0.9602060285228755,5.166666666666668,13.500000000000002,10.148468251207731,9.109609425314012,0.7962962962962963,0.0
sem_penal_troca,2,86.5,83.83333333333334,0.7981927395702488,5.166666666666668,13.500000000000002,11.422689990338165,10.465381355748795,1.2175925925925926,0.0
sem_short_cycling,0,86.5,83.83333333333334,0.8303086963777694,5.166666666666668,13.500000000000002,10.81389515942029,9.790780051014492,0.7685185185185186,0.0
sem_short_cycling,1,86.5,83.33333333333334,0.8604876036304385,5.166666666666668,13.500000000000002,10.118440630280032,9.147516634712098,0.8564814814814814,0.0
sem_short_cycling,2,86.5,83.83333333333334,0.8303955222681711,5.166666666666668,13.500000000000002,10.664845526462395,9.549771597994429,1.1064814814814816,0.0
sem_penal_frio,0,86.5,81.83333333333333,0.9706004996474716,5.166666666666668,13.500000000000002,11.354731497584542,10.261505877487926,0.8472222222222223,0.0
sem_penal_frio,1,86.5,82.0,0.9066129286593563,5.166666666666668,13.500000000000002,10.966801768115943,9.883883186086955,0.8750000000000001,0.0
sem_penal_frio,2,86.5,83.83333333333334,0.834989270196692,5.166666666666668,13.500000000000002,11.105550357487923,10.066238474975847,0.7222222222222221,0.0
quadratica_pura,0,86.5,83.83333333333334,0.8903965159001668,5.166666666666668,13.500000000000002,10.870527236714976,9.864628279806764,0.7546296296296297,0.0
quadratica_pura,1,86.16666666666666,80.66666666666666,0.989356823119081,5.166666666666668,13.833333333333334,10.887903346224753,9.854743694950818,0.7916666666666666,0.0
quadratica_pura,2,86.5,82.5,0.9239695657649991,5.166666666666668,13.500000000000002,10.961138560386473,9.940515263381643,0.7314814814814814,0.0
degraus_legado,0,86.5,81.16666666666666,0.8763470228553754,5.166666666666668,13.500000000000002,11.332078666666668,10.237946933333335,1.175925925925926,0.0
degraus_legado,1,86.5,82.16666666666666,0.8246608240210209,5.166666666666668,13.500000000000002,11.006444222222221,9.852395751111114,1.1342592592592593,0.0
degraus_legado,2,70.83333333333334,44.0,1.5965105971894629,19.5,29.166666666666664,9.934875402580976,9.089408021920256,0.6851851851851851,0.0
convencional,0,86.5,83.83333333333334,0.9590705070125176,5.166666666666668,13.500000000000002,9.98253941972468,9.085482582891284,1.0370370370370372,0.0
convencional,1,86.5,81.66666666666666,0.963019579527476,5.166666666666668,13.500000000000002,10.700544242595509,9.723093518431499,0.8333333333333334,0.0
convencional,2,86.5,83.83333333333334,0.8481940831137806,5.166666666666668,13.500000000000002,10.003922367015193,8.99589978608319,1.0092592592592593,0.0
